Setor;Codigo;Ação;Tipo;Qtde. Teorica;Part. (%);Part. (%)Acum.
Materiais Basicos;USIM5;USIMINAS;PNA     N1;514.680.651;0.221;2,353
Petroleo e Gas;RRRP3;3R PETROLEUM;ON      NM;200.372.163;0.368;17,050
Petroleo e Gas;CSAN3;COSAN;ON      NM;1.171.063.698;1;17,050
Petroleo e Gas;PETR3;PETROBRAS;ON      N2;2.706.334.382;5;17,050
Petroleo e Gas;PETR4;PETROBRAS;PN      N2;4.566.442.248;8;17,050
Petroleo e Gas;PRIO3;PETRORIO;ON      NM;839.159.130;1;17,050
Petroleo e Gas;UGPA3;ULTRAPAR;ON      NM;1.086.067.887;0.754;17,050
Petroleo e Gas;VBBR3;VIBRA;ON      NM;1.131.883.365;1;17,050
Saude;HYPE3;HYPERA;ON      NM;410.253.528;0.878;2,054
Saude;RADL3;RAIADROGASIL;ON      NM;1.071.076.905;1;2,054
Saude;FLRY3;FLEURY;ON      NM;303.373.882;0.246;3,440
Saude;HAPV3;HAPVIDA;ON      NM;4.454.692.382;2;3,440
Saude;QUAL3;QUALICORP;ON      NM;277.027.077;0.139;3,440
Saude;RDOR3;REDE D OR;ON      NM;772.010.260;1;3,440
Tecnologia Info.;LWSA3;LOCAWEB;ON      NM;418.965.264;0.2;0,994
Tecnologia Info.;CASH3;MELIUZ;ON      NM;548.153.725;0.036;0,994
Tecnologia Info.;TOTS3;TOTVS;ON      NM;519.851.955;0.758;0,994
Telecomunic.;VIVT3;TELEF BRASIL;ON;413.890.875;0.865;1,342
Telecomunic.;TIMS3;TIM;ON      NM;808.619.532;0.477;1,342
Utilidade Publica;SBSP3;SABESP;ON      NM;340.001.934;0.802;0,802
Utilidade Publica;CMIG4;CEMIG;PN      N1;1.448.479.060;0.883;8,799
Utilidade Publica;CPLE6;COPEL;PNB     N2;1.563.365.506;0.543;8,799
Utilidade Publica;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0.328;8,799
Utilidade Publica;ELET3;ELETROBRAS;ON      N1;985.704.248;2;8,799
Utilidade Publica;ELET6;ELETROBRAS;PNB     N1;242.987.127;0.571;8,799
Utilidade Publica;ENBR3;ENERGIAS BR;ON      NM;230.931.405;0.262;8,799
Utilidade Publica;ENGI11;ENERGISA;UNT ED  N2;248.477.689;0.522;8,799
Utilidade Publica;ENEV3;ENEVA;ON      NM;1.557.479.978;1;8,799
Utilidade Publica;EGIE3;ENGIE BRASIL;ON      NM;255.217.329;0.511;8,799
Utilidade Publica;EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1;8,799
Utilidade Publica;TAEE11;TAESA;UNT     N2;218.568.234;0.435;8,799
