IBOV - Carteira do Dia 29/08/22;;;;;;
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Financ e Outros / Interms Financs;BBAS3;BRASIL;ON  EX  NM;1.420.530.937;2,923;19,893
Financ e Outros / Interms Financs;BPAC11;BTGP BANCO;UNT     N2;1.301.655.996;1,633;19,893
Financ e Outros / Interms Financs;ITSA4;ITAUSA;PN  EJ  N1;4.736.140.654;2,191;19,893
Financ e Outros / Interms Financs;ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.781.077.143;6,314;19,893
Financ e Outros / Interms Financs;SANB11;SANTANDER BR;UNT;362.703.399;0,540;19,893
Financ e Outros / Previd  Seguros;BBSE3;BBSEGURIDADE;ON  ED  NM;671.629.692;0,944;1,411
Financ e Outros / Previd  Seguros;IRBR3;IRBBRASIL RE;ON      NM;1.255.286.531;0,122;1,411
Financ e Outros / Previd  Seguros;SULA11;SUL AMERICA;UNT     N2;283.167.854;0,345;1,411
Financeiro e Outros/Serviços Financeiros Diversos;B3SA3;B3;ON      NM;5.987.625.321;3,682;4,017
Financeiro e Outros/Serviços Financeiros Diversos;CIEL3;CIELO;ON      NM;1.144.359.228;0,335;4,017
Mats Básicos / Madeira e Papel;DXCO3;DEXCO;ON      NM;295.712.871;0,157;2,579
Mats Básicos / Madeira e Papel;KLBN11;KLABIN S/A;UNT     N2;812.994.397;0,791;2,579
Mats Básicos / Madeira e Papel;SUZB3;SUZANO S.A.;ON      NM;726.779.281;1,631;2,579
Mats Básicos / Mineração;BRAP4;BRADESPAR;PN      N1;251.402.249;0,287;13,223
Mats Básicos / Mineração;CMIN3;CSNMINERACAO;ON      N2;1.120.593.365;0,213;13,223
Mats Básicos / Mineração;VALE3;VALE;ON      NM;3.768.748.489;12,723;13,223
Mats Básicos / Químicos;BRKM5;BRASKEM;PNA     N1;264.975.728;0,427;0,427
Mats Básicos / Sid Metalurgia;GGBR4;GERDAU;PN      N1;1.097.534.498;1,307;2,353
Mats Básicos / Sid Metalurgia;GOAU4;GERDAU MET;PN      N1;698.275.321;0,348;2,353
Mats Básicos / Sid Metalurgia;CSNA3;SID NACIONAL;ON;642.398.790;0,477;2,353
Mats Básicos / Sid Metalurgia;USIM5;USIMINAS;PNA     N1;514.680.651;0,221;2,353
Petróleo/ Gás e Biocombustíveis;RRRP3;3R PETROLEUM;ON      NM;200.372.163;0,368;17,050
Petróleo/ Gás e Biocombustíveis;CSAN3;COSAN;ON      NM;1.171.063.698;1,177;17,050
Petróleo/ Gás e Biocombustíveis;PETR3;PETROBRAS;ON      N2;2.706.334.382;5,016;17,050
Petróleo/ Gás e Biocombustíveis;PETR4;PETROBRAS;PN      N2;4.566.442.248;7,601;17,050
Petróleo/ Gás e Biocombustíveis;PRIO3;PETRORIO;ON      NM;839.159.130;1,103;17,050
Petróleo/ Gás e Biocombustíveis;UGPA3;ULTRAPAR;ON      NM;1.086.067.887;0,754;17,050
Petróleo/ Gás e Biocombustíveis;VBBR3;VIBRA;ON      NM;1.131.883.365;1,031;17,050
Saúde/Comércio Distr.;HYPE3;HYPERA;ON      NM;410.253.528;0,878;2,054
Saúde/Comércio Distr.;RADL3;RAIADROGASIL;ON      NM;1.071.076.905;1,176;2,054
Saúde/SM Hosp An.Diag;FLRY3;FLEURY;ON      NM;303.373.882;0,246;3,440
Saúde/SM Hosp An.Diag;HAPV3;HAPVIDA;ON      NM;4.454.692.382;1,777;3,440
Saúde/SM Hosp An.Diag;QUAL3;QUALICORP;ON      NM;277.027.077;0,139;3,440
Saúde/SM Hosp An.Diag;RDOR3;REDE D OR;ON      NM;772.010.260;1,278;3,440
