,ano,mes,id_categoria,id_categoria_bd,categoria,peso_mensal,variacao_mensal,variacao_anual,variacao_doze_meses,date
56,2020,8,1101002,1.1.01.002,Arroz,0.5474,3.08,19.25,,2020-08-01
57,2020,9,1101002,1.1.01.002,Arroz,0.563,17.98,40.69,,2020-09-01
58,2020,7,1101002,1.1.01.002,Arroz,0.5377,2.2,15.69,,2020-07-01
59,2020,10,1101002,1.1.01.002,Arroz,0.6596,13.36,59.48,,2020-10-01
60,2020,12,1101051,1.1.01.051,Feijão - mulatinho,0.0149,-1.03,31.23,31.23,2020-12-01
61,2020,5,1101051,1.1.01.051,Feijão - mulatinho,0.0142,1.44,24.6,,2020-05-01
62,2020,10,1101051,1.1.01.051,Feijão - mulatinho,0.0146,3.1,32.28,,2020-10-01
63,2020,1,1101051,1.1.01.051,Feijão - mulatinho,0.0116,4.5,4.5,,2020-01-01
64,2020,11,1101051,1.1.01.051,Feijão - mulatinho,0.015,0.25,32.6,,2020-11-01
65,2020,8,1101051,1.1.01.051,Feijão - mulatinho,0.0155,-1.39,32.59,,2020-08-01
66,2020,6,1101051,1.1.01.051,Feijão - mulatinho,0.0145,7.1,33.45,,2020-06-01
67,2020,2,1101051,1.1.01.051,Feijão - mulatinho,0.0121,-3.73,0.6,,2020-02-01
68,2020,3,1101051,1.1.01.051,Feijão - mulatinho,0.0116,5.86,6.49,,2020-03-01
69,2020,9,1101051,1.1.01.051,Feijão - mulatinho,0.0152,-3.24,28.3,,2020-09-01
70,2020,7,1101051,1.1.01.051,Feijão - mulatinho,0.0154,0.76,34.46,,2020-07-01
71,2020,4,1101051,1.1.01.051,Feijão - mulatinho,0.0123,15.34,22.83,,2020-04-01
72,2020,2,1101052,1.1.01.052,Feijão - preto,0.0473,2.52,-0.23,,2020-02-01
73,2020,9,1101052,1.1.01.052,Feijão - preto,0.0625,4.31,34.47,,2020-09-01
74,2020,5,1101052,1.1.01.052,Feijão - preto,0.0541,7.44,19.83,,2020-05-01
75,2020,12,1101052,1.1.01.052,Feijão - preto,0.0668,3.29,45.38,45.38,2020-12-01
76,2020,4,1101052,1.1.01.052,Feijão - preto,0.049,10.41,11.53,,2020-04-01
77,2020,10,1101052,1.1.01.052,Feijão - preto,0.0647,2.41,37.71,,2020-10-01
78,2020,1,1101052,1.1.01.052,Feijão - preto,0.0486,-2.68,-2.68,,2020-01-01
79,2020,7,1101052,1.1.01.052,Feijão - preto,0.0622,1.25,29.51,,2020-07-01
80,2020,11,1101052,1.1.01.052,Feijão - preto,0.0658,2.2,40.75,,2020-11-01
81,2020,8,1101052,1.1.01.052,Feijão - preto,0.0628,-0.45,28.92,,2020-08-01
82,2020,6,1101052,1.1.01.052,Feijão - preto,0.0583,6.75,27.92,,2020-06-01
83,2020,3,1101052,1.1.01.052,Feijão - preto,0.0484,1.24,1.01,,2020-03-01
84,2020,10,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0185,0.76,58.49,,2020-10-01
85,2020,1,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0121,5.39,5.39,,2020-01-01
86,2020,5,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0145,2.62,24.51,,2020-05-01
87,2020,4,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0137,5.55,21.33,,2020-04-01
88,2020,3,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0129,6.52,14.95,,2020-03-01
89,2020,2,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0127,2.39,7.91,,2020-02-01
90,2020,12,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0185,5.07,68.08,68.08,2020-12-01
91,2020,6,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0149,2.88,28.1,,2020-06-01
92,2020,7,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0153,3.77,32.93,,2020-07-01
93,2020,8,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0158,2.24,35.91,,2020-08-01
94,2020,11,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0185,0.93,59.97,,2020-11-01
95,2020,9,1101053,1.1.01.053,Feijão - macáçar (fradinho),0.0161,15.73,57.29,,2020-09-01
96,2020,11,1101073,1.1.01.073,Feijão - carioca (rajado),0.1478,0.81,12.99,,2020-11-01
97,2020,4,1101073,1.1.01.073,Feijão - carioca (rajado),0.127,17.29,11.01,,2020-04-01
98,2020,10,1101073,1.1.01.073,Feijão - carioca (rajado),0.1486,0.38,12.08,,2020-10-01
99,2020,6,1101073,1.1.01.073,Feijão - carioca (rajado),0.163,4.96,26.62,,2020-06-01
100,2020,2,1101073,1.1.01.073,Feijão - carioca (rajado),0.1337,-3.44,-4.11,,2020-02-01
101,2020,3,1101073,1.1.01.073,Feijão - carioca (rajado),0.1287,-1.29,-5.35,,2020-03-01
102,2020,7,1101073,1.1.01.073,Feijão - carioca (rajado),0.1706,-5.95,19.09,,2020-07-01
103,2020,8,1101073,1.1.01.073,Feijão - carioca (rajado),0.1599,-5.85,12.12,,2020-08-01
104,2020,5,1101073,1.1.01.073,Feijão - carioca (rajado),0.1495,8.66,20.63,,2020-05-01
105,2020,9,1101073,1.1.01.073,Feijão - carioca (rajado),0.1501,-0.41,11.66,,2020-09-01
106,2020,1,1101073,1.1.01.073,Feijão - carioca (rajado),0.135,-0.7,-0.7,,2020-01-01
107,2020,12,1101073,1.1.01.073,Feijão - carioca (rajado),0.1476,2.86,16.23,16.23,2020-12-01
108,2020,5,1101079,1.1.01.079,Milho (em grão),0.0106,0.74,5.88,,2020-05-01
109,2020,10,1101079,1.1.01.079,Milho (em grão),0.0109,1.34,11.67,,2020-10-01
110,2020,12,1101079,1.1.01.079,Milho (em grão),0.0108,2.69,13.56,13.56,2020-12-01
111,2020,6,1101079,1.1.01.079,Milho (em grão),0.0107,0.0,5.89,,2020-06-01
112,2020,8,1101079,1.1.01.079,Milho (em grão),0.0107,-0.06,6.61,,2020-08-01
113,2020,4,1101079,1.1.01.079,Milho (em grão),0.0104,1.01,5.11,,2020-04-01
114,2020,2,1101079,1.1.01.079,Milho (em grão),0.01,2.94,3.14,,2020-02-01
115,2020,7,1101079,1.1.01.079,Milho (em grão),0.0107,0.74,6.67,,2020-07-01
116,2020,11,1101079,1.1.01.079,Milho (em grão),0.011,-0.96,10.59,,2020-11-01
117,2020,3,1101079,1.1.01.079,Milho (em grão),0.0103,0.88,4.06,,2020-03-01
118,2020,1,1101079,1.1.01.079,Milho (em grão),0.01,0.2,0.2,,2020-01-01
119,2020,9,1101079,1.1.01.079,Milho (em grão),0.0107,3.35,10.18,,2020-09-01
120,2020,6,1102,1.1.02.000,Farinhas. féculas e massas,0.4686,0.8,4.96,,2020-06-01
121,2020,1,1102,1.1.02.000,Farinhas. féculas e massas,0.4494,0.9,0.9,,2020-01-01
122,2020,9,1102,1.1.02.000,Farinhas. féculas e massas,0.4647,1.04,5.23,,2020-09-01
123,2020,11,1102,1.1.02.000,Farinhas. féculas e massas,0.4611,0.8,5.77,,2020-11-01
124,2020,5,1102,1.1.02.000,Farinhas. féculas e massas,0.4649,0.4,4.13,,2020-05-01
125,2020,10,1102,1.1.02.000,Farinhas. féculas e massas,0.4664,-0.28,4.93,,2020-10-01
126,2020,2,1102,1.1.02.000,Farinhas. féculas e massas,0.4525,0.67,1.58,,2020-02-01
127,2020,12,1102,1.1.02.000,Farinhas. féculas e massas,0.4608,1.44,7.29,7.29,2020-12-01
128,2020,3,1102,1.1.02.000,Farinhas. féculas e massas,0.4544,0.7,2.29,,2020-03-01
129,2020,7,1102,1.1.02.000,Farinhas. féculas e massas,0.4711,-0.24,4.7,,2020-07-01
130,2020,8,1102,1.1.02.000,Farinhas. féculas e massas,0.4682,-0.53,4.15,,2020-08-01
131,2020,4,1102,1.1.02.000,Farinhas. féculas e massas,0.4572,1.39,3.71,,2020-04-01
132,2020,8,1102001,1.1.02.001,Farinha de arroz,0.0027,0.29,1.72,,2020-08-01
133,2020,1,1102001,1.1.02.001,Farinha de arroz,0.0028,1.25,1.25,,2020-01-01
134,2020,2,1102001,1.1.02.001,Farinha de arroz,0.0028,-4.62,-3.43,,2020-02-01
135,2020,7,1102001,1.1.02.001,Farinha de arroz,0.0028,-0.62,1.43,,2020-07-01
136,2020,6,1102001,1.1.02.001,Farinha de arroz,0.0028,0.12,2.06,,2020-06-01
137,2020,12,1102001,1.1.02.001,Farinha de arroz,0.0028,-0.25,5.93,5.93,2020-12-01
138,2020,10,1102001,1.1.02.001,Farinha de arroz,0.0027,2.4,4.7,,2020-10-01
139,2020,3,1102001,1.1.02.001,Farinha de arroz,0.0026,4.78,1.19,,2020-03-01
140,2020,5,1102001,1.1.02.001,Farinha de arroz,0.0028,0.34,1.94,,2020-05-01
141,2020,11,1102001,1.1.02.001,Farinha de arroz,0.0028,1.44,6.2,,2020-11-01
142,2020,4,1102001,1.1.02.001,Farinha de arroz,0.0028,0.39,1.59,,2020-04-01
143,2020,9,1102001,1.1.02.001,Farinha de arroz,0.0027,0.51,2.24,,2020-09-01
144,2020,8,1102006,1.1.02.006,Macarrão,0.1465,-0.44,0.0,,2020-08-01
145,2020,2,1102006,1.1.02.006,Macarrão,0.1461,-0.49,-0.67,,2020-02-01
146,2020,3,1102006,1.1.02.006,Macarrão,0.145,0.02,-0.65,,2020-03-01
147,2020,1,1102006,1.1.02.006,Macarrão,0.1467,-0.18,-0.18,,2020-01-01
148,2020,12,1102006,1.1.02.006,Macarrão,0.1445,0.62,2.29,2.29,2020-12-01
149,2020,7,1102006,1.1.02.006,Macarrão,0.1483,-0.83,0.44,,2020-07-01
150,2020,6,1102006,1.1.02.006,Macarrão,0.1477,0.67,1.28,,2020-06-01
151,2020,10,1102006,1.1.02.006,Macarrão,0.1451,0.19,0.52,,2020-10-01
152,2020,4,1102006,1.1.02.006,Macarrão,0.1449,1.14,0.48,,2020-04-01
153,2020,9,1102006,1.1.02.006,Macarrão,0.1456,0.32,0.32,,2020-09-01
154,2020,11,1102006,1.1.02.006,Macarrão,0.1442,1.14,1.66,,2020-11-01
155,2020,5,1102006,1.1.02.006,Macarrão,0.147,0.12,0.61,,2020-05-01
156,2020,4,1102008,1.1.02.008,Fubá de milho,0.0081,0.45,3.54,,2020-04-01
157,2020,9,1102008,1.1.02.008,Fubá de milho,0.0085,0.79,8.96,,2020-09-01
158,2020,7,1102008,1.1.02.008,Fubá de milho,0.0084,2.92,9.71,,2020-07-01
159,2020,10,1102008,1.1.02.008,Fubá de milho,0.0084,0.86,9.9,,2020-10-01
160,2020,2,1102008,1.1.02.008,Fubá de milho,0.0079,1.14,1.58,,2020-02-01
161,2020,1,1102008,1.1.02.008,Fubá de milho,0.0079,0.43,0.43,,2020-01-01
162,2020,12,1102008,1.1.02.008,Fubá de milho,0.0084,0.12,10.78,10.78,2020-12-01
163,2020,5,1102008,1.1.02.008,Fubá de milho,0.0081,2.33,5.95,,2020-05-01
164,2020,8,1102008,1.1.02.008,Fubá de milho,0.0086,-1.46,8.1,,2020-08-01
165,2020,11,1102008,1.1.02.008,Fubá de milho,0.0084,0.69,10.65,,2020-11-01
166,2020,6,1102008,1.1.02.008,Fubá de milho,0.0084,0.61,6.6,,2020-06-01
167,2020,3,1102008,1.1.02.008,Fubá de milho,0.008,1.47,3.07,,2020-03-01
168,2020,10,1102010,1.1.02.010,Flocos de milho,0.0104,-0.84,4.12,,2020-10-01
169,2020,6,1102010,1.1.02.010,Flocos de milho,0.0102,-0.59,-0.45,,2020-06-01
170,2020,1,1102010,1.1.02.010,Flocos de milho,0.0102,-0.03,-0.03,,2020-01-01
171,2020,9,1102010,1.1.02.010,Flocos de milho,0.0101,4.39,5.01,,2020-09-01
172,2020,7,1102010,1.1.02.010,Flocos de milho,0.0101,-1.58,-2.02,,2020-07-01
173,2020,2,1102010,1.1.02.010,Flocos de milho,0.0101,-0.98,-1.02,,2020-02-01
174,2020,12,1102010,1.1.02.010,Flocos de milho,0.01,0.57,2.6,2.6,2020-12-01
175,2020,5,1102010,1.1.02.010,Flocos de milho,0.0101,-0.13,0.14,,2020-05-01
176,2020,11,1102010,1.1.02.010,Flocos de milho,0.0103,-2.02,2.02,,2020-11-01
